time,open,high,low,close,tick_volume,spread,real_volume
1589158800,1699.51,1706.53,1699.51,1704.2,7876,53,3938000
1589162400,1704.13,1707.61,1703.37,1706.34,8197,53,4098500
1589166000,1706.32,1707.72,1703.54,1704.27,4325,53,2162500
1589169600,1704.19,1711.98,1702.4,1709.88,10838,53,5419000
1589173200,1709.82,1710.62,1707.91,1709.4,7572,53,3786000
1589176800,1709.4,1709.72,1706.61,1707.49,4622,53,2311000
1589180400,1707.49,1708.22,1704.25,1705.42,5165,53,2582500
1589184000,1705.45,1706.1,1702.0,1705.02,7878,53,3939000
1589187600,1704.95,1707.95,1702.78,1706.79,14356,53,7178000
1589191200,1706.83,1709.43,1704.53,1706.88,23011,53,11505500
1589194800,1706.88,1708.16,1702.77,1703.8,29084,53,14542000
1589198400,1703.8,1705.44,1699.72,1701.21,24874,53,12437000
1589202000,1701.21,1701.72,1693.48,1699.5,29071,53,14535500
1589205600,1699.52,1701.66,1695.6,1701.09,25829,53,12914500
1589209200,1701.09,1708.05,1700.14,1705.37,28734,53,14367000
1589212800,1705.4,1708.39,1702.01,1704.39,31020,53,15510000
1589216400,1704.39,1704.96,1696.1,1697.22,36378,53,18189000
1589220000,1697.23,1698.41,1691.75,1696.81,28889,53,14444500
1589223600,1696.94,1697.62,1693.31,1696.97,17915,53,8957500
1589227200,1696.87,1699.17,1694.75,1696.19,16706,53,8353000
1589230800,1696.18,1698.12,1693.48,1697.36,14205,53,7102500
1589234400,1697.36,1698.56,1696.17,1696.65,11062,53,5531000
1589238000,1696.64,1698.46,1696.28,1696.95,3747,53,1873500
1589241600,1697.26,1710.82,1693.47,1701.6,287870,0,0
1589245200,1697.26,1697.54,1695.54,1697.21,3644,53,1822000
1589248800,1697.19,1698.95,1696.81,1697.71,3143,53,1571500
1589252400,1697.71,1698.85,1693.47,1696.64,8011,53,4005500
1589256000,1696.64,1698.03,1694.96,1696.41,8991,53,4495500
1589259600,1696.36,1700.32,1696.16,1698.49,7150,53,3575000
1589263200,1698.53,1701.59,1697.96,1700.48,8281,53,4140500
1589266800,1700.5,1701.96,1699.68,1700.01,4225,53,2112500
1589270400,1700.02,1703.01,1699.72,1701.2,6082,53,3041000
1589274000,1701.17,1701.82,1697.9,1699.33,9551,53,4775500
1589277600,1699.33,1705.49,1698.58,1703.43,21191,53,10595500
1589281200,1703.43,1706.33,1702.73,1704.91,17167,53,8583500
1589284800,1704.9,1705.91,1702.83,1704.74,24908,53,12454000
1589288400,1704.76,1707.18,1701.56,1703.44,18652,53,9326000
1589292000,1703.41,1706.04,1701.88,1704.16,14259,53,7129500
1589295600,1704.08,1704.28,1698.52,1701.19,19217,53,9608500
1589299200,1701.2,1709.7,1700.19,1708.46,27340,53,13670000
1589302800,1708.59,1710.02,1702.06,1709.7,34171,53,17085500
1589306400,1709.7,1710.82,1706.34,1706.54,25483,53,12741500
1589310000,1706.53,1707.28,1701.34,1702.45,21350,53,10675000
1589313600,1702.44,1704.94,1701.51,1703.71,20309,53,10154500
1589317200,1703.68,1704.59,1701.64,1702.24,10910,53,5455000
1589320800,1702.24,1703.05,1698.1,1701.86,18951,53,9475500
1589324400,1701.86,1702.85,1699.26,1702.47,6553,53,3276500
1589328000,1701.1,1718.2,1698.9,1715.38,362444,0,0
1589331600,1701.1,1705.49,1700.81,1703.86,5388,53,2694000
1589335200,1703.9,1704.31,1700.64,1702.37,6486,53,3243000
1589338800,1702.38,1705.87,1701.83,1705.35,9487,53,4743500
1589342400,1705.37,1706.47,1701.44,1703.05,11129,53,5564500
1589346000,1703.05,1703.75,1701.04,1702.35,9330,53,4665000
1589349600,1702.33,1703.31,1700.08,1702.56,6926,53,3463000
1589353200,1702.56,1703.58,1702.02,1703.18,3039,53,1519500
1589356800,1703.18,1705.09,1702.66,1704.28,5506,53,2753000
1589360400,1704.27,1705.82,1702.59,1703.55,8716,53,4358000
1589364000,1703.54,1703.87,1700.37,1701.43,17749,53,8874500
1589367600,1701.45,1702.1,1698.9,1701.99,25635,53,12817500
1589371200,1702.01,1703.68,1699.48,1700.72,24266,53,12133000
1589374800,1700.7,1705.11,1700.52,1704.87,18157,53,9078500
1589378400,1704.89,1708.94,1703.65,1708.07,23949,53,11974500
1589382000,1708.09,1713.45,1706.6,1711.97,28821,53,14410500
1589385600,1711.97,1717.96,1702.05,1708.5,43868,53,21934000
1589389200,1708.53,1714.62,1706.9,1711.94,37308,53,18654000
1589392800,1711.91,1716.77,1711.21,1711.44,34630,53,17315000
